"","fips","abbr","Name","pop_2015"
"1","01","AL","Alabama",4858979
"2","02","AK","Alaska",738432
"3","04","AZ","Arizona",6828065
"4","05","AR","Arkansas",2978204
"5","06","CA","California",39144818
"6","08","CO","Colorado",5456574
"7","09","CT","Connecticut",3590886
"8","10","DE","Delaware",945934
"9","11","DC","District of Columbia",672228
"10","12","FL","Florida",20271272
"11","13","GA","Georgia",10214860
"12","15","HI","Hawaii",1431603
"13","16","ID","Idaho",1654930
"14","17","IL","Illinois",12859995
"15","18","IN","Indiana",6619680
"16","19","IA","Iowa",3123899
"17","20","KS","Kansas",2911641
"18","21","KY","Kentucky",4425092
"19","22","LA","Louisiana",4670724
"20","23","ME","Maine",1329328
"21","24","MD","Maryland",6006401
"22","25","MA","Massachusetts",6794422
"23","26","MI","Michigan",9922576
"24","27","MN","Minnesota",5489594
"25","28","MS","Mississippi",2992333
"26","29","MO","Missouri",6083672
"27","30","MT","Montana",1032949
"28","31","NE","Nebraska",1896190
"29","32","NV","Nevada",2890845
"30","33","NH","New Hampshire",1330608
"31","34","NJ","New Jersey",8958013
"32","35","NM","New Mexico",2085109
"33","36","NY","New York",19795791
"34","37","NC","North Carolina",10042802
"35","38","ND","North Dakota",756927
"36","39","OH","Ohio",11613423
"37","40","OK","Oklahoma",3911338
"38","41","OR","Oregon",4028977
"39","42","PA","Pennsylvania",12802503
"40","44","RI","Rhode Island",1056298
"41","45","SC","South Carolina",4896146
"42","46","SD","South Dakota",858469
"43","47","TN","Tennessee",6600299
"44","48","TX","Texas",27469114
"45","49","UT","Utah",2995919
"46","50","VT","Vermont",626042
"47","51","VA","Virginia",8382993
"48","53","WA","Washington",7170351
"49","54","WV","West Virginia",1844128
"50","55","WI","Wisconsin",5771337
"51","56","WY","Wyoming",586107
